ae train,ae test,ae mel,ae perc,ae kld,beta,lr
1.8147494,1.7865119,0.10114022,0.6003199,2.6185308,0.023333333333333334,0.0001
1.818669,1.8181595,0.10142415,0.6005283,2.5515134,0.025,0.0001
1.8193846,1.8096789,0.10129348,0.599926,2.487591,0.02666666666666667,0.0001
1.8230001,1.8019854,0.101479314,0.6001995,2.428342,0.028333333333333335,0.0001
1.8248892,1.8217694,0.10153533,0.599927,2.3744442,0.030000000000000002,0.0001
1.8254892,1.8376228,0.10145586,0.59936476,2.3190823,0.03166666666666667,0.0001
1.8282601,1.8646405,0.10155564,0.59948903,2.2694516,0.03333333333333333,0.0001
1.83293,1.8402319,0.101809084,0.600258,2.2217813,0.035,0.0001
1.8362945,1.8470751,0.10205141,0.6005179,2.1783073,0.03666666666666667,0.0001
1.8372719,1.816282,0.1020215,0.6001329,2.1361551,0.03833333333333334,0.0001
1.8399407,1.8367959,0.10210115,0.600322,2.097069,0.04000000000000001,0.0001
1.8417382,1.8412299,0.10222469,0.600139,2.0598936,0.041666666666666664,0.0001
1.8466933,1.8373001,0.10255048,0.6010556,2.0233343,0.043333333333333335,0.0001
1.8485483,1.8487791,0.1026339,0.60095406,1.9906261,0.045000000000000005,0.0001
1.8510355,1.8227521,0.10272942,0.6011365,1.9579457,0.04666666666666667,0.0001
1.8571086,1.8440812,0.10320637,0.60237837,1.9271728,0.04833333333333334,0.0001
1.8444529,1.8323456,0.10192546,0.59780496,1.9025334,0.05,3.16e-05
1.8491961,1.8594323,0.10229847,0.5985292,1.8798783,0.051666666666666666,3.16e-05
1.8538593,1.8571887,0.102571644,0.59936446,1.856607,0.05333333333333334,3.16e-05
1.8586558,1.8550282,0.10290163,0.60019755,1.834689,0.05500000000000001,3.16e-05
1.8628458,1.85715,0.103211254,0.6008472,1.812346,0.05666666666666667,3.16e-05
1.866751,1.868427,0.103457205,0.60144955,1.7911528,0.058333333333333334,3.16e-05
1.87078,1.8674778,0.103733905,0.6020957,1.770099,0.060000000000000005,3.16e-05
1.8751488,1.872835,0.10404883,0.6028623,1.7492582,0.06166666666666667,3.16e-05
1.879558,1.8757346,0.104359135,0.60365725,1.7292168,0.06333333333333334,3.16e-05
1.8830513,1.8716288,0.10462557,0.6041554,1.7092111,0.065,3.16e-05
